аби-як adv:&pron:ind
аби-який /adj :&pron:ind
абож adv
або-ж conj:coord
абревіятура /n10.p1
аванґард /n20.p
аванґардний /adj.adv \   # xv3
 +cs=аванґардніший
аванґардовий /adj.adv
авдіометр /n20.a.p.ke
авіокомпанія /n10.p1
авіолінія /n10.p1
авіоносець /n22.a.p
авіяапошта /n10
авіябаза /n10.p1
авіябензин /n20
авіябензина /n10
авіябудування /n2n
авіядвигун /n20.a.p
авіязнімання /n2n.p1
авіякомпанія /n10.p1
авіяконструктор /n20.a.p.ke.<
авіякосмічний /adj
авіякутомір /n20.a.p.ke
авіялінія /n10.p1
авіямоделізм /n20
авіямодель /n32.p
авіянавігація /n10
авіяносець /n22.a.p
авіяносний /adj
авіяпошта /n10
авіяпромисловість /n30
авіясигнальний /adj
авіясполучення /n2n
авіятехніка /n10
авіятор /n20.a.p.ke.<
авіятранспорт /n20
авіятраса /n10.p1
авіяційний /adj
авіяція /n10.p1
авкціон /n20.p
авто /n2n.p1
аґенс /n20.p
аґенція /n10.p1
аґресивний /adj
аґресія /n10.p1
адіябата /n10.p1
адіябатичний /adj
адіябатний /adj
аероплян /n20.a.p
азіят /n20.a.p.<
азіятка /n10.p2.<
азіятський /adj
азіятчина /n10
аквареля /n10.p2
акваріюм /n20.a.p
акомпаніямент /n20.p
акомпаньямент /n20
акомпаньятор /n20.a.p.<
аксіяльний /adj
аксіяльнотолоковий /adj
але-ж conj:coord
аліянт /n20.a.p.<
альбанський /adj
альґоритм /n20.p
алькоголізм /n20
алькоголік /n20.a.p.<
алькоголь /n20
алькогольний /adj
альфабет /n20.p
альхемік /n20.a.p.<
альхемічний /adj
альхемія /n10
амбулянс /n20
амбуляторія /n10.p1
амнестія /n10
амнестований /adj :&adjp:pasv:imperf:perf
амнестувати /v1.cf.advp.is0 :imperf:perf
амоніяк /n20
амоняк /n20
амоняковий /adj
амоняконасичування /n2n
амонякоутворення /n2n
амонячний /adj
амплюа noun:n:nv
анґлійський /adj
андеґраунд /n20
андеґраундний /adj
аневплоїд /n20.a.p.<
антисовєтизм /n20
антисовєтський /adj
антисовєтчик /n20.a.p.<
антисовєтчина /n10
антисовєцький /adj
антропоґенеза /n10.p1
антропосоціоґенеза /n10.p1
арґумент /n20.p
арґументація /n10
арістотелізм /n20.p
аріяни /np1.<
ароґантність /n30
артгаусний /adj
артезіянський /adj
артилєрія /n10
архиєрейство /n2n
архикатедральний /adj
асоціятивний /adj
асоціятивність /n30
асоціяція /n10.p1
багатоваріянтний /adj
багацтво /n2n
бактеріяльний /adj
балька /n10.p2
балькон /n20.a.p
бальон /n20.a.p
балювання /n2n
балювати /v1.cf.advp :imperf
балюватися /vr1.cf.advp :imperf
баляда /n10.p1
балянс /n20.p
баляст /n20.p
бароко /n2n
батерія /n10.p1
бациля /n10
безклясовий /adj
бекґраунд /n20
бензина /n10
бенькет /n20.p
бета-радіяція /n10
бєларус /n20.a.p.<
бігевіоризм /n20
бігевіорист /n20.a.p.<
бігевіористський /adj
біматеріял /n20
блоґер /n20.a.p.ke.<
бльокада /n10.p1
бльокнот /n20.a.p
блюза /n10.p1
блюзка /n10.p2
большевизм /n20
большевик /n20.a.p.<
большевицький /adj
бравнінг /n20.a.p
бриндзя /n10
бронхіяльний /adj
брунет /n20.a.p.<
брунетка /n10.p2.<
буджет /n20.p
буджетовий /adj
бутік /n20.a.p
бухгальтер /n20.a.p.ke.<
бухгальтерія /n10.p1
б'юджет /n20
бюро /n2n.p1
б'юро /n2n
б'ютівець /n22.a.p.<
вагабізм /n20
вагабіт /n20.a.p.<
вагабітський /adj
ваканція /n10
варіянт /n20.a.u.p
варіянтний /adj
варіянтність /n30
варіятор /n20.a.p.ke
варіяційний /adj
варіяція /n10.p1
вахтмістр /n20.a.p.ke.<
видусити /v1.it1 :perf
відеотабло /n2n
відріжняти /v2.cf.advp :imperf
відріжнятися /vr2.cf.advp :imperf
віольончеля /n10
все-ж adv
гавбиця /n10.p1
гавбичний /adj
гавптман /n20.a.p.<
гавптштурмфюрер /n20.a.p.ke.<
газдувати /v1.cf.advp :imperf
гакер /n20.a.p.ke.<
гакерство /n2n
гакерський /adj
галаган /n20.a.p.<>
галерія /n10.p1
гамма-радіяція /n10
гаракірі noun:n:nv
гард-рок /n20
геві-метал /n20
гелгіт /n21
гелготати /v1.cf.advp :imperf
гелготіти /v1.cf.advp :imperf
геніяльний /adj
гестапо /n2n
гет-трик /n20.p
гієрогліф /n20.a.p
гіпотечний /adj
гіпстер /n20.a.p.ke.<
гіпстерський /adj
гістерика /n10.p1
гістеричний /adj
гістерично adv
гістерія /n10.p1
гіт-парад /n20.p
гішпанець /n22.p.a.<
гішпанський /adj
гіяцинт /n20.p :xp2                     # мінерал
гіяцинт /n20.a.p :xp1                   # рослина
гобі noun:n:nv
гокей /n20.p
голістичний /adj
голістичність /n30
голляндець /n22.a.p.<
Голляндія /n10
голляндський /adj
голяндський /adj
грунтовка /n10.p2
гураган /n20.p
гураґан /n20.p
ґаллієць /n22.p.a.<
ґалянтерія /n10.p1
ґанґстер /n20.a.p.ke.<
ґанґстерка /n10.p2.<
ґарантія /n10.p1
ґарантований /adj :&adjp:pasv:imperf
ґарантування /n2n
ґарантувати /v1.cf.advp.is0 :imperf
ґарантуватися /vr1.cf.advp :imperf
ґвинт /n20.a.p
ґвинтик /n20.a.p
ґвинтовий /adj
ґвинтокрил /n20.a.p
ґвинтоплан /n20.a.p
ґендерний /adj
ґендерологиня /n10.p1.<
ґенеза /n10
ґенерал /n20.a.p.<
ґенеральний /adj
ґенерація /n10.p1
ґеніальний /adj
ґеноцид /n20.p
ґестапо /n2n
ґето noun:n:nv:np
ґетто noun:n:nv
ґештапівець /n22.a.p.<
ґештапо noun:n:nv:np
ґлузд /n20
ґльобалізація /n10.p1
ґльобалізований /adj :&&adjp:pasv:perf
ґльобальний /adj
ґлянцевий /adj
ґотика /n10
ґотичний /adj
ґранд /n20.a.p.<
ґрандіозний /adj
ґран-прі noun:n:nv
ґрант /n20.p
ґрантовий /adj
ґрафіті noun:p:nv:ns
