# потвір
# аналіза
# дук /n20.a
# погін /n21
# набір adv                                 # дуже рідке
# вишник /n20.a.p.<                          # :xp1 дама в картах (дуже рідко)
# добрами добро noun:p:v_oru
# комода
# плат /n20.a.p
# война /n10                                # переважно рос.
# стоїти /v1.cf :imperf                     # сто́їти
# где adv:pron:int:rel
# будущий /adj
# минута /n10.p1
# много adv:predic
# смотріти /v1.cf.advp :imperf                # rv_oru
# сутки /np3
# дарити /v1.cf.advp.is0 :imperf              # rv_zna:rv_oru:rv_dav
# ковер /n20.a.p.ke
аби-де adv:pron:ind
аби-коли adv:pron:ind
аби-куди adv:pron:ind
аби-м adv
аби-сте conj:subord
абись conj:subord
аби-сь conj:subord
абисьмо conj:subord
абисьте conj:subord
аби-сьте conj:subord
або-що part
абсенція /n10.p1
абсолюторій /n20.p
абшит /n20
абшитований /adj :adjp:pasv:imperf:perf
абшитування /n2n.p1
абшитувати /v1.cf.advp.is0 :imperf:perf                       # rv_zna:rv_oru:rv_dav
авантура /n10.p1
авантуризм /n20
авантурист /n20.a.p.<
авантурний /adj
авантурник /n20.a.p.<
авантурницький /adj
авантурниця /n10.p1.<
авдиція /n10
австерія /n10.p1 :up19
автобусовий /adj
агі intj
агій intj
аглицький /adj
агрест /n20
аґрест /n20
адамашок /n22
ади intj
адміраліція /n10.p1
адонічний /adj
адрес /n20
адукат /n20.a.p.<
адьє intj
айбо айбо conj:coord
айриш /n20.a.p.<
акі conj:subord
аксіомат /n20
актьор /n20.a.ke.<
аларм /n20
алармізм /n20
аларміст /n20.a.p.<
алармістка /n10.p2.<
алармістський /adj
алармний /adj
алармовий /adj
алеж conj:coord
алілуйко /n20.p.<
алтабас /n20
альбо conj:coord
алькир /n20.a.p.ke
алюмінійовий /adj
аляр /n20.ke
аманат /n20.a.p.<
ангол /n20.a.p.ke.<
анголик /n20.a.p.<
анголя /n40.p.<
анголятко /n2n.p2.ovi.<
анголяточко /n2n.p2.ovi.<
аниж /n20
анижовий /adj
аннамець /n22.a.p.<
аннаміт /n20.a.p.<
аннамітка /n10.p2.<
аннамка /n10.p2.<
антал /n20.p
антенати /np2.<
антипко /n20.<
ануж adv
анцихрист /n20.a.p.<
анцуґ /n20.p
аранжер /n20.a.p.ke.<
арендар /n24.a.p.ku.<
арихметика /n10
арідник /n20.a.p.ke.<
армата /n10.p1
арф'янка /n10.p2.ko.<
архипастир /n24.a.p.ku.<
архібіскуп /n20.a.p.ke.<
архівар /n20.a.p.ku.<
арцибіскуп /n20.a.p.<
асірієць /n22.a.p.<
асірійський /adj
астатин /n20.p
атентат /n20.p
атрамент /n20
атраментовий /adj
аустерія /n10.p1
афини /np1
афинник /n20.a.p
ачей part
ачень part
бабизна /n10
баблятися /vr2.cf.advp :imperf                     # rv_oru
бабниця /n10.p1.<
бавно adv
багатовірство /n2n
багатовір'я /n2n
багатоцінний /adj
багнітований /adj :adjp:pasv:imperf:perf
багнути /v1.cf :imperf                             # rv_rod:rv_oru
багулля /n2n
бадійка /n10.p2
бадіка /n10.<m
базаринка /n10.p2
байбара /n10.p1
бакай /n20.a.p
бакаюватий /adj
бакаюватість /n30
бакша /n10.p1
балабеник /n20.a.p
балак /n20
балакня /n10
балбера /n10
балберка /n10.p2
балбира /n10.p1
балтицький /adj
баль /n20.p
бальовий /adj
бамбетель /n20.a.p
бамбетль /n20.a.p
бандерія /n10
банелюки /np2
баніт /n20.a.p.<
баніта /n10.p1.<
банітований /adj :adjp:pasv:imperf
банітувати /v1.cf.advp.is0 :imperf                            # rv_zna:rv_oru:rv_dav
баніція /n10.p1
банківка /n10.p2
банно adv:predic
банування /n2n
банувати /v1.cf.advp :imperf
бараболиння /n2n
барбаризм /n20.p
бардина /n10.p1
баришок /n22
бармиця /n10.p1
барометрум /n20.a.p
бартка /n10.p2
бархатин /n20
барчистий /adj
басаринка /n10.p2
баскаличитися /vr1.cf.advp :imperf
