# див. також http://lib.npu.edu.ua/full_txt/DSTU_3582_2013.pdf
абз. noun:m:nv                  # абзац
авт. noun:m:v_naz               # автор, напр. "Сьогодні (у четвер.  Авт.), вранці."
акад. noun:anim:m:nv            # академік
академ. noun:anim:m:nv|adj:nv   # академік, академічний
амер. adj:nv                    # американський
англ. adj:nv                    # англійський
арк. noun:m:nv                  # аркуш
арт. noun:m:nv                  # артикул
арт. noun:m:nv:anim             # артист
арх. noun:anim:m:nv             # архітектор
атм. noun:f:nv                  # атмосфера
ауд. noun:f:nv                  # аудиторія
бл. adv                         # близько
близьк. adv                     # близько
буд. noun:m:nv                  # будинок
в. noun:anim:m:nv               # виконувач (в.о.)
вип. noun:m:nv                  # випуск
відс. noun:m:nv                 # відсоток
вірм. adj:nv                    # вірменський
вул. noun:f:nv                  # вулиця
гр. noun:m:nv:anim|noun:f:nv:anim   # громадянин|громадянка (також помилково грам, гривня)
гр. adj:nv                      # грецький
грец. adj:nv                    # грецький
грецьк. adj:nv                  # грецький
давньогрец. adj:nv              # давньогрецький
держ. adj:nv                    # державний
див. verb:rev:imperf:impr:s:2   # дивись
дод. noun:m:nv                  # додаток
дол. noun:m:nv                  # долар
доп. noun:n:nv|adj:nv           # доповнення, доповнений
досл. adv
доц. noun:anim:m:nv             # доцент
е. noun:f:nv                    # ера
екон. adj:nv                    # економічний
ел. adj:nv
жін. adj:nv                     # жіночий
зав. noun:m:nv|noun:f:nv        # завідувач, завідувачка
заст. noun:m:nv                 # заступник
заст. adj:nv                    # застарілий
зах. adj:nv                     # західний
зб. noun:m:nv                   # збірник
зв. adj:nv
зовн. adj:nv                    # зовнішній
ім. noun:n:v_rod                # імені
ін. noun:n:nv                   # інше
інш. adj:nv                     # інше тощо
ісп. adj:nv                     # іспанський
іст. adj:nv                     # історичний
к. noun:n:nv                    # копійка (при цифрах)
каб. noun:m:nv                  # кабінет
канд. noun:anim:m:nv            # кандидат
каф. noun:f:nv                  # кафедра
кв. adj:nv|noun:f:nv:np         # квадратний, квартира
кімн. noun:f:nv                 # кімната
кл. noun:m:nv
кн. noun:f:nv                   # книга
коеф. noun:m:nv                 # коефіцієнт
коп. noun:f:nv                  # копійка
куб. adj:nv                     # кубічний
лат. adj:nv                     # латинський
м. noun:n:nv:np                 # місто
мал. noun:m:nv                  # малюнок
мат. adj:nv                     # математичний
мех. adj:nv                     # механічний
моб. adj:nv                     # мобільний
н. adj:nv                       # наша (ера)
напр. adv:&insert               # наприклад
нац. adj:nv                     # національний
н.-д. adj:nv                    # науково-дослідний
о. noun:m:nv:np:anim            # отець (о. Павло)
о. noun:m:nv:np                 # острів
о. noun:p:v_rod                 # в.о. - обов'язків
обл. noun:f:nv                  # область
оп. noun:m:nv                   # опис
орг. noun:f:nv                  # організація
оф. noun:m:nv                   # офіс
п. noun:m:nv
пд.-зах. adj:nv                 # південно-західний
пд.-сх. adj:nv                  # південно-східний
перекл. noun:m:nv:np            # переклад
пл. noun:f:nv:np                # площа
пн.-зах. adj:nv                 # північно-західний
пн.-сх. adj:nv                  # північно-східний
пов. noun:m:nv                  # повіт
пол. noun:f:nv:np               # половина
пор. verb:perf:impr:p:2         # порівняйте
поч. noun:m:nv:np               # початок
пров. noun:m:nv                 # провулок
пром. adj:nv                    # промисловий
просп. noun:m:nv:np             # проспект
проф. noun:anim:m:nv            # професор (при прізвищі)
р. noun:m:nv:np|noun:f:nv:np    # рік, річка
ред. noun:m:v_naz|noun:f:nv:np  # редактор, напр. "Сьогодні (у четвер.  Ред.), вранці.", редакція
реж. noun:m:nv                  # режисер
рис. noun:m:nv                  # рисунок
розд. noun:m:nv                 # розділ
рр. noun:p:nv:ns                # роки
рт. adj:nv
руб. noun:n:nv                  # рубль
с. noun:n:nv:np                 # село, сторінка (секунда - без крапки)
св. adj:nv                      # святий
свв. adj:p:nv                   # святі
с.-г. adj:nv                    # сільсько-господарський
скор. noun:n:nv                 # скорочення
соц. adj:nv                     # соціальний
ст. noun:f:nv|noun:n:nv         # стаття, станція, століття
ст. adj:nv                      # столовий, старший
стол. adj:nv                    # столовий
стор. noun:f:nv                 # сторінка
сх. adj:nv                      # східний
т. noun:m:nv                    # том
табл. noun:f:nv                 # таблиця
тел. noun:m:nv                  # телефон
тис. noun:f:nv:&&numr           # тисяча
укр. adj:nv                     # український
упоряд. noun:anim:m:nv          # професор (при прізвищі)
філол. adj:nv                   # філологічний
фр. adj:nv                      # французький
франц. adj:nv                   # французький
ч. noun:f:nv                    # частина
ч. adj:fp:nv                    # чайна
чайн. adj:fp:nv                 # чайна
чл.-кор. noun:anim:m:nv         # член-кореспондент (при назві установи або прізвищі)
чол. noun:m:nv                  # чоловік
чол. adj:nv                     # чоловічий
шт. noun:f:nv                   # штука
яп. adj:nv                      # японський
