# Іменники
# !noun

# з тегами

Ігоре Ігор noun:anim:m:v_kly:prop:fname:bad


# і - о + ь в кінці
якір якір noun:m:v_naz/v_zna
якоря якір noun:m:v_rod
якорю якір noun:m:v_dav/v_mis
якорем якір noun:m:v_oru
якореві якір noun:m:v_dav
якорі якір noun:m:v_mis//p:v_naz/v_zna/v_kly
якорю якір noun:m:v_kly
якорів якір noun:p:v_rod
якорям якір noun:p:v_dav
якорями якір noun:p:v_oru
якорях якір noun:p:v_mis

# 0 - о
Великдень Великдень noun:m:v_naz/v_zna:prop
Великодня Великдень noun:m:v_rod:prop
Великодню Великдень noun:m:v_dav/v_mis/v_kly:prop
Великоднем Великдень noun:m:v_oru:prop
Великодні Великдень noun:p:v_naz/v_zna/v_kly:prop
Великоднів Великдень noun:p:v_rod:prop
Великодням Великдень noun:p:v_dav:prop
Великоднями Великдень noun:p:v_oru:prop
Великоднях Великдень noun:p:v_mis:prop

Лев Лев noun:anim:m:v_naz:prop:fname
Льва Лев noun:anim:m:v_rod:prop:fname
Львові Лев noun:anim:m:v_dav:prop:fname
Льву Лев noun:anim:m:v_dav:prop:fname
Льва Лев noun:anim:m:v_zna:prop:fname
Львом Лев noun:anim:m:v_oru:prop:fname
Льві Лев noun:anim:m:v_mis:prop:fname
Львові Лев noun:anim:m:v_mis:prop:fname
Льву Лев noun:anim:m:v_mis:prop:fname
Леве Лев noun:anim:m:v_kly:prop:fname


чернець чернець noun:anim:m:v_naz
ченця чернець noun:anim:m:v_rod
ченцеві чернець noun:anim:m:v_dav
ченцю чернець noun:anim:m:v_dav
ченця чернець noun:anim:m:v_zna
ченцем чернець noun:anim:m:v_oru
ченцеві чернець noun:anim:m:v_mis
ченці чернець noun:anim:m:v_mis
ченцю чернець noun:anim:m:v_mis
ченче чернець noun:anim:m:v_kly
ченці чернець noun:anim:p:v_naz
ченців чернець noun:anim:p:v_rod
ченцям чернець noun:anim:p:v_dav
ченців чернець noun:anim:p:v_zna
ченцями чернець noun:anim:p:v_oru
ченцях чернець noun:anim:p:v_mis
ченці чернець noun:anim:p:v_kly

стекла скло noun:p:v_naz/v_zna/v_kly      #> скла
стекол скло noun:p:v_rod            #> скел
стеклам скло noun:p:v_dav/v_mis     #> склам
стеклами скло noun:p:v_oru          #> склами
стеклах скло noun:p:v_mis           #> склах

зябра зябра noun:inanim:f:v_naz:rare
зябри зябра noun:inanim:f:v_rod:rare
зябрі зябра noun:inanim:f:v_dav:rare
зябру зябра noun:inanim:f:v_zna:rare
зяброю зябра noun:inanim:f:v_oru:rare
зябрі зябра noun:inanim:f:v_mis:rare
зябро зябра noun:inanim:f:v_kly:rare
зябра зябра noun:inanim:p:v_naz
зябер зябра noun:inanim:p:v_rod
зябрам зябра noun:inanim:p:v_dav
зябра зябра noun:inanim:p:v_zna
зябрами зябра noun:inanim:p:v_oru
зябрах зябра noun:inanim:p:v_mis
зябра зябра noun:inanim:p:v_kly


вісь вісь noun:f:v_naz/v_zna
осі вісь noun:f:v_rod/v_dav/v_mis//p:v_naz/v_zna/v_kly
осе вісь noun:f:v_kly
віссю вісь noun:f:v_oru
осей вісь noun:p:v_rod
