багато,1:quantit:2:abst
більш,1:degree
більше,1:degree:2:quantit
близько,1:dist
важко,1:abst:hum:2:manner:3:physqual:weight
вже,1:time
взагалі,1:manner:2:degree:max
видно,1:physqual:vis:2:modal
вище,1:orient
відомо,1:abst:ment:2:modal
відповідно,1:manner:2:modal
відразу,1:time
водночас,1:time:2:manner
вперше,1:time
все,1:dur:max
геть,1:orient:2:degree:max
давно,1:time
далеко,1:dist:2:degree
далі,1:dist:2:time
де,1:place
десь,1:place:2:orient
дещо,1:degree
добре,1:abst:posit
довго,1:dur
додому,1:orient
досить,1:degree
досі,1:time
дуже,1:degree:max
жаль,1:abst:hum
завжди,1:time
загалом,1:abst
зараз,1:time
звичайно,1:modal:2:manner
звідки,1:orient
згодом,1:time
значно,1:degree
знову,1:time
зовсім,1:degree:max
зрештою,1:modal:2:abst
інакше,1:manner
іноді,1:freq
іще,1:abst:2:dur:3:time
коли,1:time
колись,1:time
краще,1:posit
куди,1:orient
легко, 1:abst:hum:2:manner:3:degree:4:physqual:weight
ледь,1:physqual:weight:2:degree:min
мабуть,1:modal
майже,1:degree
мало,1:quantit
менше,1:degree:2:quantit
можливо,1:modal
навколо,1:orient
навпаки,1:modal:2:abst
надто,1:degree
назад,1:orient
найбільш,1:degree:max
найбільше,1:degree:max:2:quantit:max
наразі,1:time
нарешті,1:modal:2:manner
насамперед,1:modal
насправді,1:abst
натомість,1:abst
необхідно,1:modal
нині,1:time
ніколи,1:time
одразу,1:time:2:manner
особливо,1:degree:max
очевидно,1:modal:2:abst:ment
переважно,1:abst
пізніше,1:time
після,1:time
повністю,1:physqual:2:degree:max
поки,1:time
постійно,1:dur:max
потім,1:time
потрібно,1:modal
принаймні,1:abst
просто,1:abst:2:physqual:form
протягом,1:manner
раз,1:time
разом,1:quantit:2:manner:3:time
раніше,1:time
раптом,1:manner
саме,1:time:2:manner
світло,1:physqual:vis
скільки,1:quantit
спочатку,1:time
справа,1:orient
справді,1:abst:2:modal
стало,1:manner
стільки,1:quantit:2:degree
сьогодні,1:time
сюди,1:orient
так,1:manner:2:degree:3:abst
також,1:manner:2:time
там,1:place:2:time
теж,1:manner:2:time
тепер,1:time
тим,1:cause
тільки,1:degree:2:time
тоді,1:time
тому,1:cause:2:time
трохи,1:degree:2:quantit
туди,1:orient
тут,1:place:2:time
уже,1:time
усе,1:dur:max
цікаво,1:abst:ment:2:manner
цілком,1:physqual:2:degree:max
часом,1:freq:2:manner
часто,1:freq
чимало,1:quantit
чого,1:cause:2:goal
чому,1:cause
швидко,1:speed:2:manner
швидше,1:speed:2:manner
ще,1:abst:2:dur:3:time
щойно,1:time
як,1:manner:2:degree:3:time
якось,1:manner:2:time
