Column1,Column2,Column3
#діти,1:conc:hum:group,
#люди,1:conc:hum:group,
АРЄ,1:conc:loc,
АТОвець,1:conc:hum,
АТОшник,1:conc:hum,
АТОшниця,1:conc:hum,
Аарне,1:conc:hum,
Аарон,1:conc:hum,
Ааронсон,1:conc:hum,
Аахен,1:conc:loc,
Абадан,1:conc:loc,
Абазівка,1:conc:loc,
Абай,1:conc:hum,
Абай,1:conc:loc,
Абакан,1:conc:loc,:xp1
Абакан,1:conc:loc,:xp2
Абакум,1:conc:hum,
Абакумов,1:conc:hum,
Абалкін,1:conc:hum,
Абашидзе,1:conc:hum,
Аббас,1:conc:hum,
Аббасиди,1:conc:hum,
Абдалла,1:conc:hum,
Абдаллах,1:conc:hum,
Абдель,1:conc:hum,
Абдрашитов,1:conc:hum,
Абдул,1:conc:hum,
Абдула,1:conc:hum,
Абдулла,1:conc:hum,
Абдуллаєв,1:conc:hum,
Абдуллоджанов,1:conc:hum,
Абдулов,1:conc:hum,
Абдулін,1:conc:hum,
Абдураманов,1:conc:hum,
Абдурахман,1:conc:hum,
Абдурахманов,1:conc:hum,
Абді-ага,1:conc:hum,
Абель,1:conc:hum,
Аблаєв,1:conc:hum,
Аблязов,1:conc:hum,
Аблякімов,1:conc:hum,
Аблялімов,1:conc:hum,
Аблямітов,1:conc:hum,
Абовян,1:conc:hum,
Абовян,1:conc:loc,
Абондіо,1:conc:hum,
Абрагам,1:conc:hum,
Абрам,1:conc:hum,
Абраменко,1:conc:hum,
Абрамов,1:conc:hum,
Абрамович,1:conc:hum,
Абрамовіч,1:conc:hum,
Абрамок,1:conc:loc,
Абрамс,1:conc:hum,
Абрамчук,1:conc:hum,
Абрамівка,1:conc:loc,
Абранка,1:conc:loc,
Абрахам,1:conc:hum,
Абрикосов,1:conc:hum,
Абрикосове,1:conc:loc,
Абрикосівка,1:conc:loc,
Абромавичус,1:conc:hum,
Абромавічус,1:conc:hum,
Аброськін,1:conc:hum,
Абу,1:conc:hum,
Абу-Грейб,1:conc:loc,
Абу-Дабі,1:conc:loc,:xp1
Абу-Дабі,1:conc:loc,:xp2
Абу-Ґрейб,1:conc:loc,
Абуладзе,1:conc:hum,
Абхазія,1:conc:loc,
Абібулаєв,1:conc:hum,
Абібуллаєв,1:conc:hum,
Абіджан,1:conc:loc,
Абінськ,1:conc:loc,
Абіссинія,1:conc:loc,
Абіссінія,1:conc:loc,
Ава,1:conc:hum,
Аваков,1:conc:hum,
Авакум,1:conc:hum,
Авакян,1:conc:hum,
Авалян,1:conc:hum,
Аваліані,1:conc:hum,
Авангард,1:conc:loc,
Август,1:conc:hum,
Августа,1:conc:hum,
Августимов,1:conc:hum,
Августин,1:conc:hum,
Августинович,1:conc:hum,
Августинівка,1:conc:loc,
Августо,1:conc:hum,
Августівка,1:conc:loc,
Авдотівка,1:conc:loc,
Авдєєв,1:conc:hum,
Авдєєнко,1:conc:hum,
Авдій,1:conc:hum,
Авдієвський,1:conc:hum,
Авдієнко,1:conc:hum,
Авдіївка,1:conc:loc,
Авель,1:conc:hum,
Авенаріус,1:conc:hum,
Авер'ян,1:conc:hum,
Авер'янов,1:conc:hum,
Аверелл,1:conc:hum,
Аверков,1:conc:hum,
Аверкій,1:conc:hum,
Аверченко,1:conc:hum,
Аверін,1:conc:hum,
Авесалом,1:conc:hum,
Авидівка,1:conc:loc,
Авило,1:conc:hum,
Авксентій,1:conc:hum,
Авксенівка,1:conc:loc,
Авнер,1:conc:hum,
Авнері,1:conc:hum,
Авогадро,1:conc:hum,
Авоґадро,1:conc:hum,
Авраам,1:conc:hum,
Аврам,1:conc:hum,
Авраменко,1:conc:hum,
Авраменкове,1:conc:loc,
Аврамківщина,1:conc:loc,
Аврамов,1:conc:hum,
Аврамченко,1:conc:hum,
Аврамчук,1:conc:hum,
Аврамівка,1:conc:loc,
Авратин,1:conc:loc,
Аврелій,1:conc:hum,
Аврелія,1:conc:hum,
Аврора,1:conc:hum,
Аврора,1:conc:loc,
Австралазія,1:conc:loc,
Австралія,1:conc:loc,
Австро-Угорщина,1:conc:loc,
Австрія,1:conc:loc,
Автанділ,1:conc:hum,
Автомонов,1:conc:hum,
Автоном,1:conc:hum,
Автуничі,1:conc:loc,
Автурханов,1:conc:hum,
Авіаторське,1:conc:loc,
Авігдор,1:conc:hum,
Авіловка,1:conc:loc,
Авімелех,1:conc:hum,
Авіньйон,1:conc:loc,
Авіценна,1:conc:hum,
Авіята,1:conc:hum,
Авґуст,1:conc:hum,
Авґуста,1:conc:hum,
Авґустимов,1:conc:hum,
Авґустин,1:conc:hum,
Авґустинович,1:conc:hum,
Авґусто,1:conc:hum,
Ага,1:conc:loc,
Агадир,1:conc:loc,
Агаймани,1:conc:loc,
Агамемнон,1:conc:hum,
Агапов,1:conc:hum,
Агапон,1:conc:hum,
Агапій,1:conc:hum,
Агапіт,1:conc:hum,
Агапія,1:conc:hum,
Агар,1:conc:hum,
Агар,1:conc:loc,
Агарков,1:conc:hum,
Агассі,1:conc:hum,
Агасфер,1:conc:hum,
Агата,1:conc:hum,
Агатангел,1:conc:hum,
Агатівка,1:conc:loc,
Агафангел,1:conc:hum,
Агафон,1:conc:hum,
Агафоник,1:conc:hum,
Агафоника,1:conc:hum,
Агафонов,1:conc:hum,
Агафія,1:conc:hum,
Агафіївка,1:conc:loc,
Агахова,1:conc:hum,
Агдам,1:conc:loc,
Агесилай,1:conc:hum,
Агеєв,1:conc:hum,
Агеєнко,1:conc:hum,
Агеївка,1:conc:loc,
Аглая,1:conc:hum,
Аглаїда,1:conc:hum,
Агнес,1:conc:hum,
Агнеса,1:conc:hum,
Агнета,1:conc:hum,
Агнешка,1:conc:hum,
Агнєшка,1:conc:hum,
Аграмунт,1:conc:hum,
Аграрне,1:conc:loc,
Аграфенівка,1:conc:loc,
Аграфія,1:conc:hum,
Агрипа,1:conc:hum,
Агрипина,1:conc:hum,
Агробаза,1:conc:loc,
Агроном,1:conc:loc,
Агрономічне,1:conc:loc,
Агрономія,1:conc:loc,
Агріппа,1:conc:hum,
Агуеро,1:conc:hum,
Агуеро,1:conc:loc,
Агул,1:conc:loc,
Агустін,1:conc:hum,
Агєєв,1:conc:hum,
Ада,1:conc:hum,
Адалимівка,1:conc:loc,
Адальберт,1:conc:hum,
Адальберто,1:conc:hum,
Адам,1:conc:hum,
Адамек,1:conc:hum,
Адаменко,1:conc:hum,
Адамець,1:conc:hum,
Адамик,1:conc:hum,
Адамишин,1:conc:hum,
Адамкус,1:conc:hum,
Адамов,1:conc:hum,
Адамове,1:conc:loc,
Адамович,1:conc:hum,
Адампіль,1:conc:loc,
Адамс,1:conc:hum,
Адамцевич,1:conc:hum,
Адамчук,1:conc:hum,
Адамчуки,1:conc:loc,
Адамів,1:conc:hum,
Адамів,1:conc:loc,
Адамівка,1:conc:loc,
Адана,1:conc:loc,
Аддис-Абеба,1:conc:loc,
Аддіс-Абеба,1:conc:loc,
Аделаїда,1:conc:hum,
Аделаїда,1:conc:loc,
Адель,1:conc:hum,
Аделя,1:conc:hum,
Аделіна,1:conc:hum,
Аден,1:conc:loc,
Аденауер,1:conc:hum,
Аджалик,1:conc:loc,
Аджамка,1:conc:loc,
Аджарія,1:conc:loc,
Адигея,1:conc:loc,
Адлер,1:conc:hum,
Адлер,1:conc:loc,
Адлерфельд,1:conc:hum,
Адлінгтон,1:conc:hum,
Адлінґтон,1:conc:hum,
Адольф,1:conc:hum,
Адольфо,1:conc:hum,
Адомайтіс,1:conc:hum,
Адоніс,1:conc:hum,
Адор'ян,1:conc:hum,
Адорно,1:conc:hum,
Адріан,1:conc:hum,
Адріана,1:conc:hum,
Адріано,1:conc:hum,
Адріанополь,1:conc:loc,
Адріанопіль,1:conc:loc,
Адріатика,1:conc:loc,
Адріяна,1:conc:hum,
Адрієнна,1:conc:hum,
Аділь,1:conc:hum,
Аеліта,1:conc:hum,
